prop_type,purpose,covered_area,price_text,location,beds,baths,amenities
House,For Sale,500 Sq. Yd.,12.75 Crore,"DHA Defence, Karachi, Sindh",5 Beds,5 Baths,"Built in year: 25
Parking Spaces: 5
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floors: 2,Bedrooms: 5
Bathrooms: 5
Servant Quarters: 1
Drawing Room
Dining Room
Kitchens: 2,,,"
House,For Sale,"1,000 Sq. Yd.",25 Crore,"DHA Defence, Karachi, Sindh",7 Beds,6 Baths,"Built in year
Parking Spaces
Double Glazed Windows
Central Air Conditioning
Flooring
Electricity Backup
Waste Disposal
Floors: 2
Other Main Features,Bedrooms: 6
Bathrooms: 7
Servant Quarters
Drawing Room
Dining Room
Kitchens,,,,,"
House,For Sale,500 Sq. Yd.,12 Crore,"DHA Defence, Karachi, Sindh",6 Beds,6 Baths,"Built in year: 2025
Parking Spaces
Double Glazed Windows
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floors: 2
Other Main Features,Bedrooms: 6
Bathrooms: 6
Servant Quarters: 1
Drawing Room
Dining Room
Kitchens: 1,,,,"
House,For Sale,450 Sq. Yd.,9 Crore,"DHA Defence, Karachi, Sindh",-,-,"Built in year: 2000
Parking Spaces: 4
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floors: 2
Other Main Features,Bedrooms: 4
Bathrooms: 5
Servant Quarters: 2,,,,,"
House,For Sale,300 Sq. Yd.,7 Crore,"DHA Defence, Karachi, Sindh",6 Beds,7 Baths,"Built in year: 2000
Parking Spaces: 4
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floors: 2
Other Main Features
Furnished,Bedrooms: 6
Bathrooms: 7
Servant Quarters: 2,,,,,"
House,For Sale,500 Sq. Yd.,9.3 Crore,"DHA Defence, Karachi, Sindh",5 Beds,7 Baths,"Built in year: 1998
Parking Spaces: 4
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floors: 2
Other Main Features
Furnished,Bedrooms: 5
Bathrooms: 6
Servant Quarters: 2,,,,,"
House,For Sale,450 Sq. Yd.,10.25 Crore,"DHA Defence, Karachi, Sindh",6 Beds,6 Baths,"Built in year: 2020
Parking Spaces: 02
Double Glazed Windows
Central Air Conditioning
Flooring
Electricity Backup
Waste Disposal
Floors: 1
Other Main Features,Bedrooms: 6
Bathrooms: 6
Servant Quarters: 1
Drawing Room
Dining Room
Kitchens: 2,,,,"
Flat,For Sale,268 Sq. Yd.,3.65 Crore,"DHA Defence, Karachi, Sindh",3 Beds,4 Baths,"Parking Spaces: 01
Flooring
Electricity Backup
Floor: 7
Elevators: 2
Service Elevators in Building,Bedrooms: 03
Bathrooms: 05
Servant Quarters: 01
Drawing Room
Dining Room
Kitchens: 02
Study Room
Store Rooms: 01,,"
Flat,For Sale,133 Sq. Yd.,1.35 Crore,"DHA Defence, Karachi, Sindh",3 Beds,3 Baths,"Lobby in Building
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Waste Disposal
Service Elevators in Building
Furnished,Bedrooms: 4
Bathrooms: 5
Drawing Room
Dining Room
Kitchens: 2
Study Room,,,,"
House,For Sale,"1,332 Sq. Yd.",29 Crore,"DHA Defence, Karachi, Sindh",5 Beds,5 Baths,"Built in year: 2025
Parking Spaces: 3
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Waste Disposal
Floors: 2,Bedrooms: 5
Bathrooms: 5
Servant Quarters: 1
Drawing Room
Dining Room
Kitchens: 1,,,,"
