prop_type,purpose,covered_area,price,location,beds,baths,amenities
Factory,For Sale,"1,000 Sq. Yd.",160000000,"Korangi, Karachi, Sindh",-,-,"Built in year: 2025
Parking Spaces
Electricity Backup
Waste Disposal
Floors: 2
Other Main Features,Broadband Internet Access
Satellite or Cable TV Ready
Other Business and Communication Facilities,Lawn or Garden
Other Healthcare and Recreation Facilities,,"
Shop,For Sale,26 Sq. Yd.,20000000,"Gulshan-e-Iqbal Town, Karachi, Sindh",-,-,"Built in year: 2025
Flooring
Floor: 1
Floors in Building: 2
Service Elevators in Building,Rooms: 1
Other Rooms,Broadband Internet Access
Satellite or Cable TV Ready
ATM Machines,,,"
Shop,For Sale,23 Sq. Yd.,47500000,"Gulshan-e-Iqbal Town, Karachi, Sindh",-,-,"Built in year: 2025
Parking Spaces: 4
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floors in Building: 2
Service Elevators in Building,Rooms: 1
Other Rooms,Broadband Internet Access
Satellite or Cable TV Ready,,,"
Shop,For Sale,22 Sq. Yd.,34000000,"Gulshan-e-Iqbal Town, Karachi, Sindh",-,-,"Built in year: 2025
Parking Spaces: 1
Flooring
Floors in Building: 1
Service Elevators in Building,Rooms: 1
Other Rooms,Broadband Internet Access
Satellite or Cable TV Ready
ATM Machines,,,"
Shop,For Sale,18 Sq. Yd.,27000000,"Gulshan-e-Iqbal Town, Karachi, Sindh",-,-,"Built in year: 2025
Parking Spaces: 1
Central Air Conditioning
Central Heating
Flooring
Floors in Building: 2
Service Elevators in Building,Rooms: 1
Other Rooms,Broadband Internet Access
Satellite or Cable TV Ready,,,"
Shop,For Sale,22 Sq. Yd.,9000000,"Gadap Town, Karachi, Sindh",-,-,"Built in year: 10
Parking Spaces
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor: 1
Floors in Building: 6
Elevators: 2
Service Elevators in Building
Other Main Features,Other Rooms,,,,"
Building,For Sale,233 Sq. Yd.,135000000,"Gulshan-e-Iqbal Town, Karachi, Sindh",-,-,"Parking Spaces: 1
Lobby in Building
Flooring
Electricity Backup
Elevators: 2
Service Elevators in Building,Broadband Internet Access
Satellite or Cable TV Ready
Conference Room in Building
Intercom
ATM Machines,Community Lawn or Garden
Community Swimming Pool,,"
Shop,For Sale,35 Sq. Yd.,25000000,"Gulshan-e-Iqbal Town, Karachi, Sindh",-,-,"Flooring,Broadband Internet Access
Satellite or Cable TV Ready
ATM Machines,Community Lawn or Garden
Community Swimming Pool
Community Gym
First Aid or Medical Centre
Day Care Centre
Kids Play Area,"
Other,For Sale,232 Sq. Yd.,45000000,"Malir, Karachi, Sindh",-,-,
Office,For Sale,67 Sq. Yd.,13200000,"Naya Nazimabad, Karachi, Sindh",-,-,"Built in year: 2025
Parking Spaces
Lobby in Building
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor: 1
Floors in Building: 4
Elevators: 6
Service Elevators in Building
Other Main Features,,,,,,"
Office,For Sale,108 Sq. Yd.,32100000,"Clifton, Karachi, Sindh",-,2 Baths,"Built in year: 2024
Parking Spaces: 1
Lobby in Building
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor: 6
Floors in Building: 20
Elevators: 2
Other Main Features,,,,,"
Office,For Sale,82 Sq. Yd.,17500000,"DHA Defence, Karachi, Sindh",1 Bed,1 Bath,"Built in year: 2023
Parking Spaces: 1
Lobby in Building
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor: 3
Floors in Building: 5
Elevators: 1
Service Elevators in Building
Other Main Features
Furnished,,,,,,"
Office,For Sale,113 Sq. Yd.,27000000,"DHA Defence, Karachi, Sindh",-,-,"Built in year: 2025
Parking Spaces: 4
Lobby in Building
Double Glazed Windows
Flooring
Electricity Backup
Floor: 4
Floors in Building: 4
Elevators: 1
Service Elevators in Building
Other Main Features,Nearby Schools
Nearby Hospitals
Nearby Shopping Malls
Nearby Restaurants
Distance From Airport (kms)
Nearby Public Transport Service
Other Nearby Places,Maintenance Staff
Security Staff
Other Facilities"
Shop,For Sale,60 Sq. Yd.,35000000,"Gulistan-e-Jauhar, Karachi, Sindh",-,-,"Built in year: 2025
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Floor: 1234
Floors in Building: 4
Elevators: 1
Other Main Features,Broadband Internet Access
Satellite or Cable TV Ready
Other Business and Communication Facilities,Community Lawn or Garden
Community Swimming Pool,,"
Shop,For Sale,89 Sq. Yd.,25000000,"Gulistan-e-Jauhar, Karachi, Sindh",3 Beds,3 Baths,"Built in year: 2025
Parking Spaces: 4
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Other Main Features,Other Rooms,Broadband Internet Access
Satellite or Cable TV Ready
Other Business and Communication Facilities,,,"
Office,For Sale,130 Sq. Yd.,20000000,"DHA Defence, Karachi, Sindh",-,-,"Built in year: 2014
Parking Spaces: 1
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor: 3
Floors in Building: 3
Elevators
Other Main Features,Other Rooms,,,,"
Shop,For Sale,167 Sq. Yd.,160000000,"Shahra-e-Faisal, Karachi, Sindh",-,-,"Built in year: 2020
Parking Spaces
Flooring
Floor,Broadband Internet Access,Community Gym
Mosque
Community Centre,,"
Office,For Sale,92 Sq. Yd.,34000000,"Shaheed Millat Road, Karachi, Sindh",-,1 Bath,"Parking Spaces
Lobby in Building
Double Glazed Windows
Flooring
Electricity Backup
Waste Disposal
Floor
Elevators
Other Main Features,Other Rooms,Broadband Internet Access
Satellite or Cable TV Ready
Business Center or Media Room in Building,,,"
Office,For Sale,51 Sq. Yd.,5500000,"Tariq Road, Karachi, Sindh",-,1 Bath,"Built in year: 1995
Parking Spaces: 2
Lobby in Building
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor: 5
Floors in Building
Elevators
Service Elevators in Building
Other Main Features
Furnished,,,,,"
Office,For Sale,156 Sq. Yd.,32500000,"Khayaban-e-Ittehad Road, Karachi, Sindh",-,1 Bath,"Built in year: 2023
Parking Spaces
Lobby in Building
Flooring
Electricity Backup
Waste Disposal
Floors in Building: 3
Elevators: 2
Other Main Features,Servant Quarters: 1
Other Rooms,Broadband Internet Access
Satellite or Cable TV Ready
Business Center or Media Room in Building,,,,"
